profile,goal,jeePercentile,budget,rank,college,branch,matchScore,admissionCategory,annualTuition,annualHostel,total4YrCost,avgSalary,placementPct,isPartner,isNewGen,keyReasons
90 CSE Startup,STARTUP,90,2000000,4,SRM Institute of Science and Technology,CSE,79.3,Dream,250000,100000,1400000,800000,90,TRUE,FALSE,Strong startup/entrepreneurship ecosystem at this college | Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Startup,STARTUP,90,2000000,5,Amrita Vishwa Vidyapeetham,CSE,79.1,Dream,200000,85000,1140000,780000,88,TRUE,FALSE,Strong startup/entrepreneurship ecosystem at this college | Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Startup,STARTUP,90,2000000,6,Thapar Institute of Engineering and Technology,CSE,77.5,Dream,190000,80000,1080000,850000,90,TRUE,FALSE,Strong startup/entrepreneurship ecosystem at this college | Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Startup,STARTUP,90,2000000,7,DY Patil College of Engineering (Akurdi),CSE,76.8,Target,135000,90000,900000,580000,82,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Startup,STARTUP,90,2000000,8,RV Institute of Technology and Management,CSE,75.9,Target,115000,70000,740000,750000,86,TRUE,FALSE,Strong startup/entrepreneurship ecosystem at this college | Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Startup,STARTUP,90,2000000,9,Dayananda Sagar College of Engineering,CSE,69.5,Safe,110000,60000,680000,600000,80,TRUE,FALSE,Strong startup/entrepreneurship ecosystem at this college | Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Startup,STARTUP,90,2000000,10,SRM University AP,CSE,69.2,Safe,180000,75000,1020000,650000,82,TRUE,FALSE,Strong startup/entrepreneurship ecosystem at this college | Direct admission referral support via partner link | Exclusive CollegeMatch Partner
96 CSE Higher Studies Abroad,HIGHER_STUDIES,96,2500000,1,IIIT Hyderabad,CSE,100,Dream,160000,75000,940000,1600000,98,TRUE,FALSE,Strong research environment for higher studies & research | Direct admission referral support via partner link | Placement average package exceeds ₹9 LPA
96 CSE Higher Studies Abroad,HIGHER_STUDIES,96,2500000,2,NIT Warangal,CSE,100,Dream,65000,35000,400000,1400000,98,TRUE,FALSE,Strong research environment for higher studies & research | Direct admission referral support via partner link | Placement average package exceeds ₹9 LPA
96 CSE Higher Studies Abroad,HIGHER_STUDIES,96,2500000,3,Manipal Institute of Technology,CSE,98.3,Target,335000,110000,1780000,1250000,97,TRUE,FALSE,Strong research environment for higher studies & research | Direct admission referral support via partner link | Placement average package exceeds ₹9 LPA
96 CSE Higher Studies Abroad,HIGHER_STUDIES,96,2500000,4,Manipal Institute of Technology (MIT),CSE,97.3,Target,335000,110000,1780000,1250000,97,TRUE,FALSE,Strong research environment for higher studies & research | Direct admission referral support via partner link | Placement average package exceeds ₹9 LPA
96 CSE Higher Studies Abroad,HIGHER_STUDIES,96,2500000,5,RV College of Engineering (RVCE),CSE,93,Dream,250000,85000,1340000,1540000,98,FALSE,FALSE,Strong research environment for higher studies & research | Placement average package exceeds ₹9 LPA | Outstanding research output (9/10) supports your Higher Studies/Academia goal
96 CSE Higher Studies Abroad,HIGHER_STUDIES,96,2500000,6,RV College of Engineering,CSE,90,Dream,120000,85000,820000,1100000,96,TRUE,FALSE,Strong research environment for higher studies & research | Direct admission referral support via partner link | Placement average package exceeds ₹9 LPA
96 CSE Higher Studies Abroad,HIGHER_STUDIES,96,2500000,7,Vellore Institute of Technology,CSE,89.9,Target,198000,95000,1172000,920000,95,TRUE,FALSE,Strong research environment for higher studies & research | Direct admission referral support via partner link | Placement average package exceeds ₹9 LPA
96 CSE Higher Studies Abroad,HIGHER_STUDIES,96,2500000,8,Vellore Institute of Technology (VIT),CSE,88.9,Target,198000,95000,1172000,920000,95,TRUE,FALSE,Strong research environment for higher studies & research | Direct admission referral support via partner link | Placement average package exceeds ₹9 LPA
96 CSE Higher Studies Abroad,HIGHER_STUDIES,96,2500000,9,MAHE Manipal,CSE,88.2,Target,320000,110000,1720000,1200000,96,TRUE,FALSE,Strong research environment for higher studies & research | Direct admission referral support via partner link | Placement average package exceeds ₹9 LPA
96 CSE Higher Studies Abroad,HIGHER_STUDIES,96,2500000,10,Pune Institute of Computer Technology,CSE,83,Target,105000,65000,680000,900000,92,TRUE,FALSE,Strong research environment for higher studies & research | Direct admission referral support via partner link | Placement average package exceeds ₹9 LPA
86 CSE Not Sure,NOT_SURE,86,1400000,1,Thapar Institute of Engineering and Technology,CSE,75,Dream,190000,80000,1080000,850000,90,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
86 CSE Not Sure,NOT_SURE,86,1400000,2,Amrita Vishwa Vidyapeetham,CSE,74.4,Dream,200000,85000,1140000,780000,88,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
86 CSE Not Sure,NOT_SURE,86,1400000,3,SRM Institute of Science and Technology,CSE,74.3,Dream,250000,100000,1400000,800000,90,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
86 CSE Not Sure,NOT_SURE,86,1400000,4,DY Patil College of Engineering (Akurdi),CSE,73,Dream,135000,90000,900000,580000,82,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
86 CSE Not Sure,NOT_SURE,86,1400000,5,RV Institute of Technology and Management,CSE,72.3,Dream,115000,70000,740000,750000,86,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
86 CSE Not Sure,NOT_SURE,86,1400000,6,KIIT University,CSE,67.6,Target,160000,65000,900000,600000,80,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
86 CSE Not Sure,NOT_SURE,86,1400000,7,Dayananda Sagar College of Engineering,CSE,67.2,Target,110000,60000,680000,600000,80,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
86 CSE Not Sure,NOT_SURE,86,1400000,8,SRM University AP,CSE,66.6,Target,180000,75000,1020000,650000,82,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
86 CSE Not Sure,NOT_SURE,86,1400000,9,Manipal University Jaipur,CSE,65.8,Target,195000,85000,1120000,600000,80,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
86 CSE Not Sure,NOT_SURE,86,1400000,10,Chandigarh University,CSE,62.6,Safe,130000,55000,740000,500000,72,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
95 CSE No Budget Limit,PLACEMENT,95,,1,NIT Warangal,CSE,100,Dream,65000,35000,400000,1400000,98,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
95 CSE No Budget Limit,PLACEMENT,95,,2,RV College of Engineering,CSE,96.5,Dream,120000,85000,820000,1100000,96,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
95 CSE No Budget Limit,PLACEMENT,95,,3,Vellore Institute of Technology,CSE,95,Target,198000,95000,1172000,920000,95,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
95 CSE No Budget Limit,PLACEMENT,95,,4,Manipal Institute of Technology,CSE,93.9,Dream,335000,110000,1780000,1250000,97,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
95 CSE No Budget Limit,PLACEMENT,95,,5,RV College of Engineering (RVCE),CSE,93.7,Dream,250000,85000,1340000,1540000,98,FALSE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Placement average package exceeds ₹9 LPA
95 CSE No Budget Limit,PLACEMENT,95,,6,Vellore Institute of Technology (VIT),CSE,93.3,Target,198000,95000,1172000,920000,95,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
95 CSE No Budget Limit,PLACEMENT,95,,7,Manipal Institute of Technology (MIT),CSE,92.5,Dream,335000,110000,1780000,1250000,97,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
95 CSE No Budget Limit,PLACEMENT,95,,8,MAHE Manipal,CSE,91.2,Dream,320000,110000,1720000,1200000,96,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
95 CSE No Budget Limit,PLACEMENT,95,,9,Pune Institute of Computer Technology,CSE,86.5,Target,105000,65000,680000,900000,92,TRUE,FALSE,Direct admission referral support via partner link | Placement average package exceeds ₹9 LPA | Exclusive CollegeMatch Partner
95 CSE No Budget Limit,PLACEMENT,95,,10,BMS College of Engineering,CSE,78.9,Target,110000,70000,720000,800000,90,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
82 CSE Tight Budget,PLACEMENT,82,700000,1,Dayananda Sagar College of Engineering,CSE,68.3,Target,110000,60000,680000,600000,80,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
82 CSE Tight Budget,PLACEMENT,82,700000,2,Lovely Professional University,CSE,59.5,Safe,120000,55000,700000,450000,70,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
82 CSE Tight Budget,PLACEMENT,82,700000,3,Chandigarh University,CSE,58.2,Safe,130000,55000,740000,500000,72,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
82 CSE Tight Budget,PLACEMENT,82,700000,4,Galgotias University,CSE,56.4,Safe,115000,50000,660000,400000,65,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Premium Budget,PLACEMENT,90,3000000,1,Vellore Institute of Technology,CSE,95,Dream,198000,95000,1172000,920000,95,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
90 CSE Premium Budget,PLACEMENT,90,3000000,2,Vellore Institute of Technology (VIT),CSE,93.3,Dream,198000,95000,1172000,920000,95,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
90 CSE Premium Budget,PLACEMENT,90,3000000,3,Pune Institute of Computer Technology,CSE,86.5,Dream,105000,65000,680000,900000,92,TRUE,FALSE,Direct admission referral support via partner link | Placement average package exceeds ₹9 LPA | Exclusive CollegeMatch Partner
90 CSE Premium Budget,PLACEMENT,90,3000000,4,BMS College of Engineering,CSE,78.9,Dream,110000,70000,720000,800000,90,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Premium Budget,PLACEMENT,90,3000000,5,Thapar Institute of Engineering and Technology,CSE,77.8,Dream,190000,80000,1080000,850000,90,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Premium Budget,PLACEMENT,90,3000000,6,SRM Institute of Science and Technology,CSE,76.8,Dream,250000,100000,1400000,800000,90,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Premium Budget,PLACEMENT,90,3000000,7,Amrita Vishwa Vidyapeetham,CSE,76.5,Dream,200000,85000,1140000,780000,88,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Premium Budget,PLACEMENT,90,3000000,8,DY Patil College of Engineering (Akurdi),CSE,74.3,Target,135000,90000,900000,580000,82,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Premium Budget,PLACEMENT,90,3000000,9,RV Institute of Technology and Management,CSE,74.1,Target,115000,70000,740000,750000,86,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Premium Budget,PLACEMENT,90,3000000,10,KIIT University,CSE,69.3,Safe,160000,65000,900000,600000,80,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
91 CSE South India Only,PLACEMENT,91,1600000,1,Vellore Institute of Technology,CSE,95,Dream,198000,95000,1172000,920000,95,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
91 CSE South India Only,PLACEMENT,91,1600000,2,Vellore Institute of Technology (VIT),CSE,93.3,Dream,198000,95000,1172000,920000,95,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
91 CSE South India Only,PLACEMENT,91,1600000,3,MAHE Manipal,CSE,82.4,Dream,320000,110000,1720000,1200000,96,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
91 CSE South India Only,PLACEMENT,91,1600000,4,BMS College of Engineering,CSE,78.9,Dream,110000,70000,720000,800000,90,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
91 CSE South India Only,PLACEMENT,91,1600000,5,SRM Institute of Science and Technology,CSE,76.8,Dream,250000,100000,1400000,800000,90,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
91 CSE South India Only,PLACEMENT,91,1600000,6,Amrita Vishwa Vidyapeetham,CSE,76.5,Target,200000,85000,1140000,780000,88,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
91 CSE South India Only,PLACEMENT,91,1600000,7,RV Institute of Technology and Management,CSE,74.1,Target,115000,70000,740000,750000,86,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
91 CSE South India Only,PLACEMENT,91,1600000,8,Dayananda Sagar College of Engineering,CSE,69,Safe,110000,60000,680000,600000,80,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
88 CSE North India Only,PLACEMENT,88,1400000,1,Manipal University Jaipur,CSE,66.7,Target,195000,85000,1120000,600000,80,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
88 CSE North India Only,PLACEMENT,88,1400000,2,Galgotias University,CSE,57.1,Safe,115000,50000,660000,400000,65,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
99 CSE Extreme Reach,PLACEMENT,99,3000000,1,IIIT Hyderabad,CSE,100,Target,160000,75000,940000,1600000,98,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
99 CSE Extreme Reach,PLACEMENT,99,3000000,2,NIT Warangal,CSE,100,Target,65000,35000,400000,1400000,98,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
99 CSE Extreme Reach,PLACEMENT,99,3000000,3,RV College of Engineering,CSE,96.5,Target,120000,85000,820000,1100000,96,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
99 CSE Extreme Reach,PLACEMENT,99,3000000,4,Vellore Institute of Technology,CSE,95,Target,198000,95000,1172000,920000,95,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
99 CSE Extreme Reach,PLACEMENT,99,3000000,5,Manipal Institute of Technology,CSE,93.9,Target,335000,110000,1780000,1250000,97,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
99 CSE Extreme Reach,PLACEMENT,99,3000000,6,RV College of Engineering (RVCE),CSE,93.7,Target,250000,85000,1340000,1540000,98,FALSE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Placement average package exceeds ₹9 LPA
99 CSE Extreme Reach,PLACEMENT,99,3000000,7,Vellore Institute of Technology (VIT),CSE,93.3,Target,198000,95000,1172000,920000,95,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
99 CSE Extreme Reach,PLACEMENT,99,3000000,8,Manipal Institute of Technology (MIT),CSE,92.5,Target,335000,110000,1780000,1250000,97,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
99 CSE Extreme Reach,PLACEMENT,99,3000000,9,MAHE Manipal,CSE,91.2,Target,320000,110000,1720000,1200000,96,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
99 CSE Extreme Reach,PLACEMENT,99,3000000,10,Pune Institute of Computer Technology,CSE,86.5,Target,105000,65000,680000,900000,92,TRUE,FALSE,Direct admission referral support via partner link | Placement average package exceeds ₹9 LPA | Exclusive CollegeMatch Partner
65 CSE Very Low Percentile,PLACEMENT,65,600000,1,Galgotias University,CSE,38.3,Target,115000,50000,660000,400000,65,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
85 CSE Startup No Budget,STARTUP,85,,1,SRM Institute of Science and Technology,CSE,79.3,Dream,250000,100000,1400000,800000,90,TRUE,FALSE,Strong startup/entrepreneurship ecosystem at this college | Direct admission referral support via partner link | Exclusive CollegeMatch Partner
85 CSE Startup No Budget,STARTUP,85,,2,Amrita Vishwa Vidyapeetham,CSE,79.1,Dream,200000,85000,1140000,780000,88,TRUE,FALSE,Strong startup/entrepreneurship ecosystem at this college | Direct admission referral support via partner link | Exclusive CollegeMatch Partner
85 CSE Startup No Budget,STARTUP,85,,3,Thapar Institute of Engineering and Technology,CSE,77.5,Dream,190000,80000,1080000,850000,90,TRUE,FALSE,Strong startup/entrepreneurship ecosystem at this college | Direct admission referral support via partner link | Exclusive CollegeMatch Partner
85 CSE Startup No Budget,STARTUP,85,,4,DY Patil College of Engineering (Akurdi),CSE,76.8,Dream,135000,90000,900000,580000,82,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
85 CSE Startup No Budget,STARTUP,85,,5,RV Institute of Technology and Management,CSE,75.9,Dream,115000,70000,740000,750000,86,TRUE,FALSE,Strong startup/entrepreneurship ecosystem at this college | Direct admission referral support via partner link | Exclusive CollegeMatch Partner
85 CSE Startup No Budget,STARTUP,85,,6,Dayananda Sagar College of Engineering,CSE,69.5,Target,110000,60000,680000,600000,80,TRUE,FALSE,Strong startup/entrepreneurship ecosystem at this college | Direct admission referral support via partner link | Exclusive CollegeMatch Partner
85 CSE Startup No Budget,STARTUP,85,,7,SRM University AP,CSE,69.2,Target,180000,75000,1020000,650000,82,TRUE,FALSE,Strong startup/entrepreneurship ecosystem at this college | Direct admission referral support via partner link | Exclusive CollegeMatch Partner
85 CSE Startup No Budget,STARTUP,85,,8,KIIT University,CSE,68.9,Target,160000,65000,900000,600000,80,TRUE,FALSE,Strong startup/entrepreneurship ecosystem at this college | Direct admission referral support via partner link | Exclusive CollegeMatch Partner
